,Movie Title,Revenue,popularity,vote_count,vote_average,language,genre_ids
75,Spider-Man 3,336530303,21.126,8113,6.2,en,"[28, 12, 14]"
76,Minions,336045770,12.327,7782,6.3,en,"[12, 16, 35, 10751]"
77,Joker,335448104,104.238,9597,8.2,en,"[80, 18, 53]"
78,Aquaman,335061807,27.563,7993,6.8,en,"[28, 12, 14]"
79,Spider-Man: Homecoming,334201140,35.91,13486,7.4,en,"[28, 12, 18, 878]"
80,Alice in Wonderland,334191110,25.496,9725,6.6,en,"[12, 14, 10751]"
81,Alice in Wonderland,334191110,18.92,3751,7.1,en,"[12, 16, 14, 10751]"
82,Alice in Wonderland,334191110,11.307,221,6.3,en,"[14, 10751]"
83,Guardians of the Galaxy,333176600,59.534,19833,7.9,en,"[28, 12, 878]"
84,Forrest Gump,330455270,31.211,16944,8.4,en,"[35, 18, 10749]"
85,Batman v Superman: Dawn of Justice,330360194,29.716,12854,5.8,en,"[28, 12, 14]"
86,It,328828874,16.693,12799,7.2,en,[27]
87,Suicide Squad,325100054,18.904,14907,5.9,en,"[28, 12, 80, 14, 878]"
88,Deadpool 2,324591735,35.58,10499,7.5,en,"[28, 12, 35]"
89,Shrek the Third,322719944,18.706,5473,6.2,en,"[14, 12, 16, 35, 10751]"
90,Iron Man,318604126,32.254,17501,7.6,en,"[28, 12, 878]"
91,Indiana Jones and the Kingdom of the Crystal Skull,317101119,17.998,5070,5.9,en,"[28, 12]"
92,The Lord of the Rings: The Fellowship of the Ring,315544750,36.717,16115,8.3,en,"[28, 12, 14]"
93,Thor: Ragnarok,315058289,46.401,13140,7.5,en,"[28, 12, 35, 14]"
94,Jumanji: The Next Level,314373255,295.751,1980,6.8,en,"[28, 12, 35, 14]"
95,Iron Man 2,312433331,25.429,13785,6.8,en,"[28, 12, 878]"
96,Star Wars: Episode II - Attack of the Clones,310676740,15.06,8272,6.5,en,"[28, 12, 878]"
97,Pirates of the Caribbean: At World's End,309420425,23.828,9281,7.2,en,"[28, 12, 14]"
98,Independence Day,306169268,22.095,6093,6.8,en,"[28, 12, 878]"
99,Pirates of the Caribbean: The Curse of the Black Pearl,305413918,37.217,13735,7.7,en,"[28, 12, 14]"
100,Skyfall,304360277,27.727,11252,7.1,en,"[28, 12, 53]"
101,The Hobbit: An Unexpected Journey,303003568,25.202,13040,7.2,en,"[28, 12, 14]"
102,Harry Potter and the Half-Blood Prince,302305431,27.712,11859,7.7,en,"[12, 14]"
103,The Twilight Saga: Eclipse,300531751,14.885,5533,6.1,en,"[12, 18, 14, 10749]"
104,The Twilight Saga: New Moon,297816253,17.011,5811,5.8,en,"[12, 18, 14, 10749]"
105,Harry Potter and the Deathly Hallows: Part 1,296347721,26.039,12103,7.8,en,"[12, 14]"
106,The Sixth Sense,293506292,16.822,7074,7.9,en,"[9648, 53, 18]"
107,Up,293004164,27.93,13672,7.9,en,"[16, 35, 10751, 12]"
108,Inception,292576195,43.953,24678,8.3,en,"[28, 12, 878]"
109,Harry Potter and the Order of the Phoenix,292353413,27.004,12145,7.6,en,"[12, 14, 9648]"
110,The Twilight Saga: Breaking Dawn - Part 2,292324737,15.239,5730,6.3,en,"[12, 18, 14, 10749]"
111,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957,27.351,6562,7.1,en,"[12, 14, 10751]"
112,Man of Steel,291045518,21.199,10594,6.5,en,"[28, 12, 14, 878]"
113,Harry Potter and the Goblet of Fire,290417905,28.472,12485,7.8,en,"[12, 14, 10751]"
114,"Monsters, Inc.",289916256,32.273,12040,7.8,en,"[16, 35, 10751]"
115,The Hunger Games: Mockingjay - Part 2,281723902,22.563,8316,6.9,en,"[28, 12, 878]"
116,The Matrix Reloaded,281576461,20.523,6444,6.9,en,"[28, 12, 878, 53]"
117,The Twilight Saga: Breaking Dawn - Part 1,281287133,18.533,5682,6.0,en,"[12, 14, 10749]"
118,Meet the Fockers,279261160,11.481,3002,6.2,en,"[35, 10749]"
119,The Hangover,277322503,16.522,11478,7.3,en,[35]
120,Gravity,274092705,19.329,10679,7.2,en,"[18, 878, 53]"
121,Sing,270395425,21.228,4812,7.0,en,"[16, 35, 18, 10751]"
122,Monsters University,268492764,26.128,7044,7.0,en,"[16, 10751]"
123,Shrek,267665011,27.522,9884,7.6,en,"[12, 16, 35, 10751, 14]"
124,Despicable Me 3,264624300,14.967,4566,6.3,en,"[28, 12, 16, 35, 10751]"
125,Harry Potter and the Chamber of Secrets,262450136,40.827,13307,7.7,en,"[12, 14]"
126,The Amazing Spider-Man,262030663,23.043,11402,6.5,en,"[28, 12, 14]"
127,The Incredibles,261441092,23.721,11808,7.7,en,"[28, 12, 16, 10751]"
128,How the Grinch Stole Christmas,260044825,14.37,4159,6.6,en,"[35, 14, 10751]"
129,Jaws,260000000,20.404,5814,7.6,en,"[12, 27, 53]"
130,Captain America: The Winter Soldier,259766572,14.053,12331,7.7,en,"[28, 12, 878]"
131,The Hobbit: The Desolation of Smaug,258366855,21.779,8511,7.6,en,"[28, 12, 14]"
132,The Lego Movie,257760692,15.843,5309,7.4,en,"[12, 16, 35, 14, 10751]"
133,Star Trek,257730019,17.507,6910,7.4,en,"[28, 12, 878]"
134,I Am Legend,256393010,17.931,9988,7.1,en,"[28, 18, 27, 878, 53]"
135,The Blind Side,255959475,13.528,3283,7.5,en,[18]
136,The Hobbit: The Battle of the Five Armies,255119788,42.772,9326,7.3,en,"[28, 12, 14]"
137,The Hangover Part II,254464305,12.626,6919,6.4,en,[35]
138,Despicable Me,251513985,24.391,10931,7.2,en,"[16, 35, 10751]"
139,Batman,251348343,19.862,4443,7.2,en,"[28, 14]"
140,Batman,251348343,10.846,418,6.2,en,"[12, 35, 80, 878, 10751]"
141,Night at the Museum,250863268,15.172,6696,6.5,en,"[28, 12, 35, 14, 10751]"
142,Men in Black,250690539,31.137,9001,7.1,en,"[28, 12, 35, 878]"
143,Harry Potter and the Prisoner of Azkaban,249975996,32.137,13030,8.0,en,"[12, 14]"
144,Moana,248757044,5.342,7692,7.5,en,"[12, 16, 35, 10751]"
